Game_Id,Game_Name,Tags,Month,Avg. Players,Gain,% Gain,Peak Players,Date,Hours_watched,Hours_streamed,Peak_viewers,Streamers
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Apr-21,723346.52,-17581.31,-2.37%,1148077,04/2021,70072819.0,1464933.0,421485.0,158206.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Mar-21,740927.82,-85.42,-0.01%,1198581,03/2021,72375036.0,1626300.0,454393.0,170319.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Feb-21,741013.24,-2196.42,-0.30%,1123485,02/2021,67578481.0,1507029.0,607485.0,161814.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jan-21,743209.66,25405.91,3.54%,1124553,01/2021,60899705.0,1669538.0,592921.0,178120.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Dec-20,717803.75,49049.17,7.33%,1164396,12/2020,60757021.0,1426365.0,387473.0,154721.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Nov-20,668754.58,55087.89,8.98%,1037464,11/2020,60714096.0,1297659.0,551755.0,139791.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Oct-20,613666.69,6816.37,1.12%,943876,10/2020,58560804.0,1138329.0,434419.0,124370.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Sep-20,606850.32,-33107.34,-5.17%,977769,09/2020,53623137.0,1029871.0,306910.0,114511.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Aug-20,639957.66,14056.85,2.25%,925348,08/2020,48243344.0,1071229.0,313425.0,117920.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jul-20,625900.81,-45746.65,-6.81%,857560,07/2020,41902442.0,1187042.0,197934.0,126894.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jun-20,671647.46,-97147.79,-12.64%,1009467,06/2020,76001332.0,1403689.0,499919.0,149577.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",May-20,768795.25,-88808.97,-10.36%,1193359,05/2020,76786808.0,1783788.0,380494.0,187999.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Apr-20,857604.22,186570.94,27.80%,1305714,04/2020,86673161.0,1981314.0,535624.0,215744.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Mar-20,671033.29,127054.13,23.36%,1145972,03/2020,66797699.0,1511619.0,828949.0,197089.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Feb-20,543979.15,42783.15,8.54%,916996,02/2020,49796451.0,1135106.0,614792.0,154126.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jan-20,501196.0,44494.44,9.74%,817229,01/2020,33893286.0,1217678.0,257488.0,168202.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Dec-19,456701.56,30620.76,7.19%,767060,12/2019,40460483.0,977970.0,322386.0,146003.0
