Topic,Topic_Name,Probability
0,0_player_animation_server_issue,[0.54084836 0.02690895 0.03938936 0.0370781 ]
0,0_player_animation_server_issue,[0.48886904 0.0245148  0.03588865 0.03553089]
1,1_survival_livonia_survivor_year,[0.23200064 0.43595194 0.15292339 0.01493991]
-1,-1_player_server_issue_animation,[0.11086203 0.20399733 0.08217727 0.0067258 ]
0,0_player_animation_server_issue,[0.65026849 0.0315342  0.04621334 0.04132722]
0,0_player_animation_server_issue,[0.52176672 0.03230781 0.05924764 0.02187684]
-1,-1_player_server_issue_animation,[0.33242559 0.01532147 0.02423162 0.01721292]
0,0_player_animation_server_issue,[1.00000000e+000 3.85480601e-308 7.86928340e-308 1.57242451e-308]
1,1_survival_livonia_survivor_year,[0.32908272 0.45134406 0.18699868 0.02180409]
1,1_survival_livonia_survivor_year,[1.22667358e-307 1.00000000e+000 5.77895734e-308 8.38218300e-309]
1,1_survival_livonia_survivor_year,[0.31087728 0.41634349 0.18730125 0.01992889]
1,1_survival_livonia_survivor_year,[1.64895103e-307 1.00000000e+000 1.21771406e-307 1.02585053e-308]
1,1_survival_livonia_survivor_year,[0.35713096 0.42343091 0.19587222 0.0235659 ]
1,1_survival_livonia_survivor_year,[0.29532628 0.451356   0.18589926 0.01894368]
1,1_survival_livonia_survivor_year,[0.32595661 0.40213438 0.17871784 0.02143716]
-1,-1_player_server_issue_animation,[0.10291395 0.1724776  0.10831067 0.00624918]
-1,-1_player_server_issue_animation,[0.48835892 0.02114033 0.03344285 0.02259231]
1,1_survival_livonia_survivor_year,[0.14760746 0.21460239 0.05463861 0.01056922]
1,1_survival_livonia_survivor_year,[0.35016191 0.42905354 0.19781109 0.02297346]
-1,-1_player_server_issue_animation,[0.25823672 0.05457402 0.18028542 0.01369321]
1,1_survival_livonia_survivor_year,[0.31022583 0.36206347 0.18707342 0.01982245]
-1,-1_player_server_issue_animation,[0.22930239 0.03757487 0.0891024  0.01097818]
0,0_player_animation_server_issue,[0.56799672 0.03063621 0.05209182 0.02634959]
-1,-1_player_server_issue_animation,[0.20573991 0.04314319 0.11781871 0.01045442]
2,2_server_branch_experimental_stable,[0.15434897 0.05784856 0.74309592 0.00899334]
0,0_player_animation_server_issue,[0.63828453 0.0512849  0.11799673 0.01930965]
1,1_survival_livonia_survivor_year,[0.30123795 0.43986636 0.18299165 0.019716  ]
1,1_survival_livonia_survivor_year,[0.21322101 0.66315108 0.10928981 0.0143381 ]
0,0_player_animation_server_issue,[0.86729878 0.01681535 0.02525632 0.03005035]
0,0_player_animation_server_issue,[0.74280546 0.04434991 0.09671416 0.01797848]
-1,-1_player_server_issue_animation,[0.49234013 0.0215681  0.03405853 0.02277242]
-1,-1_player_server_issue_animation,[0.46596214 0.0271337  0.04627933 0.02131417]
-1,-1_player_server_issue_animation,[0.18659171 0.14952232 0.24239859 0.01129052]
0,0_player_animation_server_issue,[0.57452994 0.02837985 0.0466493  0.02751524]
0,0_player_animation_server_issue,[0.51427698 0.02591397 0.04278353 0.02243261]
0,0_player_animation_server_issue,[0.91654908 0.02464731 0.04273654 0.01602909]
-1,-1_player_server_issue_animation,[0.48085918 0.02275743 0.03669996 0.0220382 ]
-1,-1_player_server_issue_animation,[0.45695714 0.01787054 0.02792908 0.02286461]
-1,-1_player_server_issue_animation,[0.47576049 0.01721713 0.02698187 0.02987144]
0,0_player_animation_server_issue,[0.29555742 0.01522634 0.02530462 0.01597212]
0,0_player_animation_server_issue,[0.46155991 0.03264237 0.06602855 0.01461752]
-1,-1_player_server_issue_animation,[0.18951997 0.13472288 0.28330293 0.01136793]
0,0_player_animation_server_issue,[0.89059259 0.02411494 0.03800986 0.03531449]
0,0_player_animation_server_issue,[0.75194667 0.02299606 0.03615378 0.03194042]
1,1_survival_livonia_survivor_year,[0.25568382 0.44079873 0.19829054 0.01586003]
0,0_player_animation_server_issue,[1.00000000e+000 2.65183179e-308 4.40727028e-308 1.83754184e-308]
0,0_player_animation_server_issue,[0.80489604 0.02798692 0.04326053 0.03160085]
0,0_player_animation_server_issue,[0.57012874 0.04879205 0.09751887 0.02073428]
-1,-1_player_server_issue_animation,[0.49665458 0.02100808 0.033513   0.02499928]
-1,-1_player_server_issue_animation,[0.4942634  0.02100535 0.03351615 0.02490107]
0,0_player_animation_server_issue,[1.00000000e+000 2.75692426e-308 4.70591108e-308 1.87927745e-308]
2,2_server_branch_experimental_stable,[2.10719873e-307 7.30341637e-308 1.00000000e+000 1.22494088e-308]
2,2_server_branch_experimental_stable,[2.11308625e-307 7.34886552e-308 1.00000000e+000 1.22546836e-308]
0,0_player_animation_server_issue,[1.00000000e+000 2.06566366e-308 3.11088083e-308 2.41796978e-308]
